timestamp	cmd_id	ninja	lesson_id	action	result	referenced	project	task_type	bloom_level
2026-02-28T16:48:59	cmd_444	kagemaru	L097	injected	BLOCK	yes	infra	review	routine
2026-02-28T16:48:59	cmd_444	kagemaru	L079	injected	BLOCK	yes	infra	review	routine
2026-02-28T16:48:59	cmd_444	kagemaru	L094	injected	BLOCK	yes	infra	review	routine
2026-02-28T16:48:59	cmd_444	kagemaru	L088	injected	BLOCK	yes	infra	review	routine
2026-02-28T16:48:59	cmd_444	kagemaru	L060	injected	BLOCK	yes	infra	review	routine
2026-02-28T16:48:59	cmd_444	kagemaru	L074	injected	BLOCK	yes	infra	review	routine
2026-02-28T16:48:59	cmd_444	kagemaru	L063	injected	BLOCK	yes	infra	review	routine
2026-02-28T16:48:59	cmd_444	kagemaru	L032	injected	BLOCK	yes	infra	review	routine
2026-02-28T16:48:59	cmd_444	kagemaru	L058	withheld	BLOCK	no	infra	review	routine
2026-02-28T16:48:59	cmd_444	kagemaru	L102	withheld	BLOCK	no	infra	review	routine
2026-02-28T17:03:39	cmd_445	sasuke	L021	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:03:39	cmd_445	sasuke	L103	injected	CLEAR	no	infra	implement	routine
2026-02-28T17:03:39	cmd_445	sasuke	L048	injected	CLEAR	no	infra	implement	routine
2026-02-28T17:03:39	cmd_445	sasuke	L097	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:03:39	cmd_445	sasuke	L102	injected	CLEAR	no	infra	implement	routine
2026-02-28T17:03:39	cmd_445	sasuke	L094	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:03:39	cmd_445	sasuke	L074	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:03:39	cmd_445	sasuke	L063	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:03:39	cmd_445	sasuke	L032	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:03:39	cmd_445	sasuke	L101	withheld	CLEAR	no	infra	implement	routine
2026-02-28T17:03:45	cmd_445	kirimaru	L018	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:03:45	cmd_445	kirimaru	L097	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:03:45	cmd_445	kirimaru	L022	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:03:45	cmd_445	kirimaru	L079	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:03:45	cmd_445	kirimaru	L021	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:03:45	cmd_445	kirimaru	L094	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:03:45	cmd_445	kirimaru	L074	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:03:45	cmd_445	kirimaru	L063	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:03:45	cmd_445	kirimaru	L032	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:03:45	cmd_445	kirimaru	L023	withheld	CLEAR	no	infra	implement	routine
2026-02-28T17:19:13	cmd_446	hanzo	L079	injected	BLOCK	yes	infra	implement	routine
2026-02-28T17:19:13	cmd_446	hanzo	L076	injected	BLOCK	no	infra	implement	routine
2026-02-28T17:19:13	cmd_446	hanzo	L080	injected	BLOCK	no	infra	implement	routine
2026-02-28T17:19:13	cmd_446	hanzo	L088	injected	BLOCK	yes	infra	implement	routine
2026-02-28T17:19:13	cmd_446	hanzo	L054	injected	BLOCK	no	infra	implement	routine
2026-02-28T17:19:13	cmd_446	hanzo	L047	injected	BLOCK	no	infra	implement	routine
2026-02-28T17:19:13	cmd_446	hanzo	L038	injected	BLOCK	no	infra	implement	routine
2026-02-28T17:19:13	cmd_446	hanzo	L074	injected	BLOCK	yes	infra	implement	routine
2026-02-28T17:19:13	cmd_446	hanzo	L063	injected	BLOCK	yes	infra	implement	routine
2026-02-28T17:19:13	cmd_446	hanzo	L032	injected	BLOCK	yes	infra	implement	routine
2026-02-28T17:26:49	cmd_447	sasuke	L043	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:26:49	cmd_447	sasuke	L002	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:26:49	cmd_447	sasuke	L105	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:26:49	cmd_447	sasuke	L035	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:26:49	cmd_447	sasuke	L029	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:26:49	cmd_447	sasuke	L074	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:26:49	cmd_447	sasuke	L063	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:26:49	cmd_447	sasuke	L032	injected	CLEAR	yes	infra	implement	routine
2026-02-28T17:26:49	cmd_447	sasuke	L048	withheld	CLEAR	no	infra	implement	routine
2026-02-28T17:26:49	cmd_447	sasuke	L038	withheld	CLEAR	no	infra	implement	routine
2026-02-28T17:28:11	cmd_446	saizo	L079	injected	BLOCK	yes	infra	review	routine
2026-02-28T17:28:11	cmd_446	saizo	L058	injected	BLOCK	no	infra	review	routine
2026-02-28T17:28:11	cmd_446	saizo	L094	injected	BLOCK	no	infra	review	routine
2026-02-28T17:28:11	cmd_446	saizo	L088	injected	BLOCK	yes	infra	review	routine
2026-02-28T17:28:11	cmd_446	saizo	L061	injected	BLOCK	no	infra	review	routine
2026-02-28T17:28:11	cmd_446	saizo	L074	injected	BLOCK	yes	infra	review	routine
2026-02-28T17:28:11	cmd_446	saizo	L063	injected	BLOCK	yes	infra	review	routine
2026-02-28T17:28:11	cmd_446	saizo	L032	injected	BLOCK	yes	infra	review	routine
2026-02-28T17:28:11	cmd_446	saizo	L009	withheld	BLOCK	no	infra	review	routine
2026-02-28T17:28:11	cmd_446	saizo	L080	withheld	BLOCK	no	infra	review	routine
2026-02-28T17:30:06	cmd_446	saizo	L061	injected	BLOCK	no	infra	review	routine
2026-02-28T17:30:06	cmd_446	saizo	L058	injected	BLOCK	no	infra	review	routine
2026-02-28T17:30:06	cmd_446	saizo	L094	injected	BLOCK	no	infra	review	routine
2026-02-28T17:30:06	cmd_446	saizo	L097	injected	BLOCK	no	infra	review	routine
2026-02-28T17:30:06	cmd_446	saizo	L009	injected	BLOCK	yes	infra	review	routine
2026-02-28T17:30:06	cmd_446	saizo	L074	injected	BLOCK	yes	infra	review	routine
2026-02-28T17:30:06	cmd_446	saizo	L063	injected	BLOCK	yes	infra	review	routine
